지점,일시,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),최대 풍속(m/s),평균 풍속(m/s),합계 일사(MJ/m2),평균 전운량(1/10)
108,2016-10-31,5.7,.7,8.2,.5,4.9,2,2.14,7.4
108,2016-11-01,1.5,-2.4,6.6,,4.6,2.7,13.52,0
108,2016-11-02,4.1,-2.7,10.5,.1,4.2,1.4,10.76,4.4
108,2016-11-03,9.1,4.2,14.1,.2,5,1.6,9.91,4.9
108,2016-11-04,12.3,8.2,15.7,0,6.1,2.7,5.14,8.3
108,2016-11-05,15,12.2,18.1,0,5.1,2.2,5.09,7.3
108,2016-11-06,14,11.9,18.3,,5.6,3.4,8.91,7.5
108,2016-11-07,12.8,8.5,17.8,5.5,5.1,2.8,5.09,9
108,2016-11-08,4.1,.4,8.4,.5,5.6,3.5,10.89,2.4
108,2016-11-09,2.1,-3.2,8.6,,5.2,1.9,12.02,1.4
108,2016-11-10,6,1.5,9.8,.4,4.1,2,3.87,9.5
108,2016-11-11,9.1,6.2,14.2,4,5.7,2.2,9.97,2
108,2016-11-12,11.4,5.1,16.7,,5.4,2.3,9.07,3.3
108,2016-11-13,14.4,12.1,18.1,.5,3.5,1.7,6.62,7.3
108,2016-11-14,13.2,10.2,15.8,1.5,4.1,1.7,2.44,7.9
108,2016-11-15,5.2,2.5,10.2,,5.5,2.8,11.6,0
108,2016-11-16,5.2,0,12,,3.2,1.4,8.59,1.1
108,2016-11-17,9.1,4,16.5,,2.2,1.2,9.33,2
108,2016-11-18,10.3,4.9,14.6,0,3.8,1.9,6.39,5.6
108,2016-11-19,13,9.9,18.6,0,4.6,2.2,7.42,8.9
108,2016-11-20,9.8,6.4,15.3,,5.2,2.5,10.14,1.6
108,2016-11-21,9.5,5.1,14.6,,4.9,2.2,4.26,7.8
108,2016-11-22,2,-2.1,8.4,.2,6.1,3.9,7.38,8.4
108,2016-11-23,-1.8,-4.8,3.6,,5.7,3,9.14,3.4
108,2016-11-24,-2.5,-6.2,2.4,,4.8,2.1,10.5,0
108,2016-11-25,1,-3.5,6,,4.3,1.5,8.31,4.3
108,2016-11-26,.9,-.7,2.7,2.8,3.7,2.3,1.68,7.5
108,2016-11-27,3.3,.5,6.6,0,4.5,1.5,3.81,7.5
108,2016-11-28,1.4,-1.4,5.6,,4,2.5,9.47,0
108,2016-11-29,1.7,-2.8,8.6,,3.1,1.6,9.34,.1
108,2016-11-30,6,.7,9.8,1,3.6,2,4.37,8.9
108,2016-12-01,4.1,-1,7,,6.9,3.6,9.39,1.3
108,2016-12-02,1.6,-3.5,7.9,,4.2,1.8,9.82,0
108,2016-12-03,4.5,-.7,11.3,,2.6,1.4,8.76,5.5
108,2016-12-04,5.5,2,9.5,,2.8,1.2,4.16,8.8
108,2016-12-05,5.9,.5,10.3,1.5,6,3,4.3,7.9
108,2016-12-06,-1.1,-4.2,4.3,,5.2,2.5,9.97,0
108,2016-12-07,1.7,-2.7,7.5,0,4.2,2.3,5.96,3.9
108,2016-12-08,2.1,-3,6.1,3,3.4,1.7,5.28,6.1
108,2016-12-09,1.4,-2.9,4.2,3,5.8,2.8,8.5,3.9
108,2016-12-10,-1.6,-5.9,3.6,,4.8,1.9,9.45,.1
108,2016-12-11,-1.1,-6.1,6.4,,4.1,1.2,9.58,.4
108,2016-12-12,2.3,-3,6.3,,3.5,1.9,5.71,8
108,2016-12-13,3.4,-.4,8.8,,4.7,2,6.64,4.6
108,2016-12-14,-1.4,-2.3,-.1,.1,4.3,2.7,2.98,7.3
108,2016-12-15,-5,-7.6,-1.5,,5.3,3,9.64,0
108,2016-12-16,-4.7,-9.8,0,,4.7,2.2,9.62,2
108,2016-12-17,2.7,-2.7,8,0,3.9,1.8,6.21,6.6
108,2016-12-18,4.9,2.7,8.1,,4.1,1.9,3.06,8.5
108,2016-12-19,7.2,4.3,12,.1,4.8,2.5,5.32,6.9
108,2016-12-20,7.6,4.4,13.6,,3.4,1.2,7.86,2.4
108,2016-12-21,7.9,4.1,12.6,29,7.2,3.5,5.01,8.1
108,2016-12-22,5.5,1.5,11,23.5,6.3,3.5,1.37,9.8
108,2016-12-23,-2.5,-4.4,1.5,.1,6.5,3.6,2.35,8.9
108,2016-12-24,-2.4,-4.3,1.1,,3.3,1.8,4.96,5.5
108,2016-12-25,1,-4.5,6.4,,3.5,1.7,7.54,4.8
108,2016-12-26,2.5,1.3,4.4,0,4.2,1.4,1.66,8.6
108,2016-12-27,-2.3,-6.3,1.3,.5,5.8,3.5,9.29,2.8
108,2016-12-28,-3.7,-8.4,2.6,,4,1.8,9.22,1.9
108,2016-12-29,-4.2,-7.2,-1.1,.3,5.4,2.8,9.67,1.5
108,2016-12-30,-3.9,-9.1,1,,3,1.3,6.79,3
108,2016-12-31,.7,-3.6,5.7,0,2.9,1.5,5.28,6.6
108,2017-01-01,2.7,-1.6,6.9,,2.8,1.5,4.38,7
108,2017-01-02,5,1.8,9.2,.3,4.2,2.1,5.11,7.6
108,2017-01-03,2,-2.3,7.7,,4,1.8,8.51,1.1
108,2017-01-04,3.9,1,8.9,,4,1.7,8.68,2.6
108,2017-01-05,3.8,-.1,7.3,,5.6,3.1,4.27,8.4
108,2017-01-06,5.4,2.5,11.4,,5.1,2.4,7.04,4.1
108,2017-01-07,4.6,0,10.5,,3,1.4,7.45,3
108,2017-01-08,6.5,4,10.9,0,4.9,2.6,5.64,8.1
108,2017-01-09,1.5,-3.1,4.3,0,5.8,3.3,7.29,4.3
108,2017-01-10,-3.7,-7.4,1.1,,7,3.2,8.99,.8
108,2017-01-11,-3.8,-9.4,1.5,,5.4,2.1,9.47,1.9
108,2017-01-12,-2.2,-6.1,1,0,6.5,3.1,9.62,2.1
108,2017-01-13,-6,-8.6,-1.4,.6,7,2.9,8.18,1.8
108,2017-01-14,-8.4,-10.5,-5.4,,7,3.8,10.7,0
108,2017-01-15,-6.6,-11.5,-.9,,5,2.3,10.76,0
108,2017-01-16,-3.8,-8.9,4,,2.9,1.4,10.41,.1
108,2017-01-17,-2,-7.1,3.4,,2.6,1.5,7.58,4.4
108,2017-01-18,-.5,-3,2.8,0,3.1,1.3,4.48,4
108,2017-01-19,-1.2,-4.9,4.7,,4.6,1.6,8.08,6.3
108,2017-01-20,-4.4,-7.8,-1.4,4,6.4,3,6.88,4.8
108,2017-01-21,-5.2,-10,-.9,2.1,5.8,1.6,6.37,5.3
108,2017-01-22,-8.3,-10.9,-3.3,0,6.2,3.8,10.73,0
108,2017-01-23,-8.9,-12.6,-4.1,,4.7,2.2,10.81,0
108,2017-01-24,-7,-11.6,-1.3,,4.1,2,11.07,0
108,2017-01-25,-5.2,-10.2,.9,,4,1.5,10.78,0
108,2017-01-26,-1.3,-7.9,3.4,.3,5.6,2.2,7.06,6.9
108,2017-01-27,-2.6,-5.7,3.1,3,6.1,3.4,11.32,1.6
108,2017-01-28,-1.6,-8.2,4.3,,3.3,1.7,10.22,6.6
108,2017-01-29,.8,-.9,2.5,4.5,4.2,1.8,1.94,9.6
108,2017-01-30,-4.8,-7.9,-.9,.1,5.8,3.3,11.49,2.9
108,2017-01-31,-5.4,-9.9,.2,,3.5,1.7,10.8,3.1
108,2017-02-01,-4,-7.5,.7,,5.2,2.5,12.02,1.4
108,2017-02-02,-2.7,-9.2,3.3,,6,2.7,12.2,1.3
108,2017-02-03,1.5,-2.3,6.7,,4.4,1.5,10.33,2.3
108,2017-02-04,.9,-2.9,3.2,,3,1.6,3.59,7
108,2017-02-05,1.2,-1.5,2.3,.5,4.8,2.1,2.44,7.3
108,2017-02-06,-1.7,-4.4,2.6,,4.8,3,12.49,0
108,2017-02-07,-2,-5.6,3,,3.5,1.5,7.68,5.3
108,2017-02-08,-2.2,-4.9,.6,,4.9,2,5.84,6.8
108,2017-02-09,-5.3,-7.1,-2.1,,6.7,3.8,11.31,1.5
108,2017-02-10,-6.6,-9.3,-2.5,,6.2,4.1,13.12,.9
108,2017-02-11,-4.8,-9.2,.8,,5.6,2.8,13.41,.3
108,2017-02-12,-2.2,-7.4,4.2,,4.8,2.1,13.67,0
108,2017-02-13,.1,-5.4,6.1,,3.9,1.6,9.32,4.3
108,2017-02-14,.3,-4,6.5,,4.2,2.5,13.79,0
108,2017-02-15,1.8,-3.9,8,,3.4,1.4,11.14,0
108,2017-02-16,5.5,-1.9,10.3,0,4.1,2,5.08,5.8
108,2017-02-17,.8,-5.2,9,4,6.1,3.9,14.39,3.1
108,2017-02-18,-2.6,-7,2.9,,6.2,2.8,14.56,.6
108,2017-02-19,2.3,-3.4,5.7,1,4.5,1.9,5.12,7
108,2017-02-20,-1.5,-5.2,5.4,.5,7.8,4.2,14.19,2.5
108,2017-02-21,-.6,-7.6,6.9,,3.2,1.6,14.09,4.5
108,2017-02-22,1.7,-.9,2.9,5.1,6.7,2.7,2.21,9.9
108,2017-02-23,-1.5,-4.2,2.1,,6.7,3.8,15.33,1.1
108,2017-02-24,-.8,-5.8,4.4,,5.5,2.2,14.28,2.1
108,2017-02-25,2.6,-2.8,8.4,,5.4,2.3,15.11,1.8
108,2017-02-26,3.6,-1.5,10.1,,5.2,2.1,14.97,.1
108,2017-02-27,3.7,-1.8,10.7,,4,1.8,15.89,0
108,2017-02-28,5.6,-1.3,12.3,,4.2,2,14.29,2.1
108,2017-03-01,5,2,11.4,5,5.9,1.8,6.72,9.8
108,2017-03-02,1.8,-1.1,6.6,.5,5.7,3.1,15.81,4.1
108,2017-03-03,3.3,-3.1,10.4,,5,2.1,15.05,1.3
108,2017-03-04,5.7,.1,12.7,,3.9,1.6,15.33,.1
108,2017-03-05,5.2,1.2,10.4,.5,4.9,2.1,10.86,6.1
108,2017-03-06,.1,-2.8,4,,6.7,4,17.51,.5
108,2017-03-07,-1.3,-4,2.9,0,6.5,3.9,17.54,1
108,2017-03-08,-.1,-5.3,5,0,6.2,3.1,13.6,2.8
108,2017-03-09,3.2,-2.7,10.7,,7.3,3.1,15.76,.8
108,2017-03-10,4.8,-1.2,12.2,,5,2.2,17.26,.1
108,2017-03-11,7.3,-.2,16.7,,5.2,1.8,16.7,3
108,2017-03-12,8.2,4.4,14,0,6.1,2,8.84,9
108,2017-03-13,6.9,1.5,12.2,,5.1,2.5,16.79,3.4
108,2017-03-14,5.8,1,10.9,,6,3.2,17.81,.5
108,2017-03-15,6.3,.4,13.3,,5,2.1,17.71,.1
108,2017-03-16,6.2,1,13.4,,5.2,1.9,16.57,3
108,2017-03-17,7.7,1.2,15.7,,5.6,2,16.6,1.9
108,2017-03-18,9.5,5.9,16.1,,5.9,2.3,15.94,3.5
108,2017-03-19,10.9,3.2,18.9,,4.1,1.6,17.09,.3
108,2017-03-20,10.2,6,15.5,,4.3,1.8,6.43,8.3
108,2017-03-21,7.4,4.3,12.6,,6.2,3.1,14.74,2
108,2017-03-22,7.6,1.9,14.1,,5.4,2.5,18.17,4.8
108,2017-03-23,9.1,5.1,15,,5.4,2.2,15.76,4.6
108,2017-03-24,8.7,3.9,15.2,,4.9,2.1,14.18,6.8
108,2017-03-25,8.1,5,12.6,,4.9,2.1,12.08,6
108,2017-03-26,7.3,4.8,11.6,,5,2.2,12.83,7.1
108,2017-03-27,6.1,4.4,10.9,.4,8.5,2.5,8.45,6
108,2017-03-28,7.1,2.5,12.7,,4.6,1.9,13.18,6.4
108,2017-03-29,8.8,4.7,14.4,,4.6,2.3,17.57,4.3
108,2017-03-30,10.6,4.1,17.1,,4.4,1.9,17.17,4.9
108,2017-03-31,8.6,4.9,12.4,1.5,4.9,2.4,4.85,8.3
108,2017-04-01,9,4.8,15.1,1,5.2,2.1,15.86,4.8
108,2017-04-02,9,3.1,15.8,,5.3,2.1,19.44,.9
108,2017-04-03,11.4,4.3,19.2,,5.4,2.1,20.1,0
108,2017-04-04,14.1,6.7,21.8,,5,2,18.32,4
108,2017-04-05,12,10.8,14.2,37.5,5.5,2.4,3.29,9.9
108,2017-04-06,10.4,9.4,12.4,3,5.1,2.4,4.66,9.6
108,2017-04-07,14.5,9,23.5,,4.8,2.1,18.39,6.8
108,2017-04-08,13,8.6,19.9,.5,5.6,2.5,16.31,8.3
108,2017-04-09,14.8,10.6,20.5,.5,5.8,2.8,16.96,8
108,2017-04-10,16.5,10.1,23.3,,5.4,2.8,22.11,5.5
108,2017-04-11,15.3,11.5,20.2,,6.8,3.2,18.42,5.3
108,2017-04-12,11.5,8.8,16.4,,7,3.7,21.62,1.9
108,2017-04-13,12.7,6.3,19.6,0,5.4,2.5,16.62,3
108,2017-04-14,13,10.1,17.7,6,8.1,3.5,8.26,6.9
108,2017-04-15,16.8,10.9,24.3,,5.2,2.2,20.01,3.3
108,2017-04-16,18.7,12.9,24.4,,3.8,1.4,,8.1
108,2017-04-17,14.7,11.2,18,5.5,6.4,2.2,4.44,8.3
108,2017-04-18,11.7,9.4,17.4,7.5,6.1,2.5,6.2,5.3
108,2017-04-19,12.6,7,18.4,,6.6,2.9,23.08,2
108,2017-04-20,12.9,9.9,18.2,.1,4.8,2.3,10.27,7.4
108,2017-04-21,13.1,7.6,19.3,,4.8,2,18.12,3.1
108,2017-04-22,14.8,8.5,22.5,,6.6,2.1,21.83,.5
108,2017-04-23,14.9,8.9,21.7,,6.3,2.4,23.55,.1
108,2017-04-24,15.1,8.3,21.3,,6.2,2.7,21.56,4.8
108,2017-04-25,16,12.9,20.4,,5.1,2.7,,7.9
108,2017-04-26,15.1,10.5,20.2,,6.4,3.3,25.55,2
108,2017-04-27,13.6,7.9,19.8,,6.7,3.3,24.94,.4
108,2017-04-28,14.4,8.9,21.5,,6.5,3,22.59,3.3
108,2017-04-29,17.1,9.6,23.7,,6.1,2.7,24.45,0
108,2017-04-30,19.3,13.7,27.8,,5,2.6,21.96,0
108,2017-05-01,20.1,12.8,28.3,,4.7,1.9,24.3,0
108,2017-05-02,20.7,15.2,28,,4.5,2.1,20.21,3.1
108,2017-05-03,21.5,14.5,30.2,,7.4,2,24.05,0
108,2017-05-04,21,14.8,27.5,,5.4,2,17.89,7.4
108,2017-05-05,20.9,15.5,27,,6.9,3.2,23.38,5.1
108,2017-05-06,14.9,10,19.3,,8.1,3.8,25.23,.9
108,2017-05-07,16.6,10.9,22.8,,6.5,3.2,25.9,.5
108,2017-05-08,17.9,11.1,23.5,,4.4,2.1,16.92,7.3
108,2017-05-09,17.1,15.3,22.6,2.5,3.9,1.6,8.34,9.4
108,2017-05-10,16.4,14.2,20.8,2.5,5.8,2.5,15.29,6.9
108,2017-05-11,19.3,13.1,24.8,0,4.3,1.8,16.69,7.6
108,2017-05-12,19.1,16.8,21.1,,5,2.1,5.57,8
108,2017-05-13,16.4,12.4,22.6,6,8.5,3.1,8.35,6.8
108,2017-05-14,15.7,11,20.7,,6.7,3.7,27.71,.6
108,2017-05-15,16,12.3,20.1,0,4.8,2.8,17.5,5.5
108,2017-05-16,17.1,13.3,22.3,,4.2,2,16.79,6.4
108,2017-05-17,18.6,12.3,25.9,,5.4,2.1,26.53,.6
108,2017-05-18,20.4,13.9,26.9,,5.5,2.3,24.44,1.5
108,2017-05-19,21.1,15.1,27.9,,5.5,2.6,26.72,0
108,2017-05-20,20.9,15.4,27.3,,5.7,2.4,24.18,5.1
108,2017-05-21,21.5,16,27.6,,4.7,2.3,26.62,2.8
108,2017-05-22,21.8,15.9,28,,5,2,22.27,2.8
108,2017-05-23,20,17.2,24.4,5,4.4,1.9,11.66,9.1
108,2017-05-24,21.8,16.9,27.8,.1,4.6,2,24.99,2.9
108,2017-05-25,19.2,14.4,24.4,,7,3.4,24.3,.9
108,2017-05-26,17.7,12.4,23.2,,5.3,2.9,25.32,1.9
108,2017-05-27,19.5,13.7,26.4,,4.9,2.2,26.95,.1
108,2017-05-28,21.2,14.4,27.9,,5.4,2.7,23.57,1
108,2017-05-29,22.9,18.1,29.3,,5.3,2.3,22.29,4.6
108,2017-05-30,23.6,18.6,30.3,,5.4,2.4,21.3,6
108,2017-05-31,23.3,17.7,29.6,,4.8,1.9,20.09,5.4
108,2017-06-01,23.3,20,27,,6.2,3.1,21.83,4.3
108,2017-06-02,20.5,15.5,25.6,0,5.2,2.8,25.66,3.1
108,2017-06-03,20.5,16.1,26.5,,6.2,3,27.88,1.9
108,2017-06-04,21.7,15.1,28.1,,5.6,2.6,27.49,1.8
108,2017-06-05,24.2,16.4,30.3,0,4,1.9,26.62,4.9
108,2017-06-06,19.4,14.5,23.9,15.5,5,2.5,7.4,9.8
108,2017-06-07,17.6,15.1,19.2,12.5,4.6,2.4,3.47,8.8
108,2017-06-08,20.1,15.1,25.9,,5.5,2.8,25.61,3.9
108,2017-06-09,21.2,17.9,25.7,.1,6.4,3.3,16.67,6.9
108,2017-06-10,21.5,16.7,27.5,4.5,4,2.3,24.26,6.9
108,2017-06-11,22.8,14.8,29.6,,5.5,2.2,28.53,1
108,2017-06-12,22.1,17,28,,4.9,2.8,24.22,4.9
108,2017-06-13,21.5,18.3,25.9,0,6.1,2.4,21.29,7
108,2017-06-14,21.8,17.8,26.8,,5.4,2.8,25.27,1.6
108,2017-06-15,23.1,18,29.6,,5.4,2.5,24.81,1.5
108,2017-06-16,25.5,20,32.7,,4.6,2.2,24.11,1.3
108,2017-06-17,24.2,20.6,29.9,,5,2.4,24.5,0
108,2017-06-18,24.3,18.6,31.8,,5.3,2.3,26,.8
108,2017-06-19,24.8,19.5,30.2,,4.2,1.8,21,5.6
108,2017-06-20,26,20,32.7,0,5,2.1,18.81,6.6
108,2017-06-21,25.4,21.7,31.6,0,6.3,2.9,23.53,3
108,2017-06-22,25.3,21.2,30.4,,4.9,2.5,23.53,3.9
108,2017-06-23,26.7,21.3,34.1,,5.7,2,22.75,4.1
108,2017-06-24,24.5,21.5,27.8,3.5,5.2,1.2,7.22,9.5
108,2017-06-25,23.8,21,28.4,1.5,3.6,1.5,12.96,7.1
108,2017-06-26,23.1,20.1,29.9,29,6.4,2.2,14.3,8.8
108,2017-06-27,25.2,20.8,30.5,0,4.3,2.2,18.34,6.4
108,2017-06-28,26,22.5,30.5,,4.6,2.1,16.7,6.1
108,2017-06-29,26.2,21.9,31.5,,4.7,2.2,21.06,3.8
108,2017-06-30,25.9,22.2,30.9,,4.3,2.2,19.45,4.9
108,2017-07-01,25.3,22.4,30.7,.5,4.6,2,13.89,9.4
108,2017-07-02,24.3,21.9,26.8,92,7.3,2.5,5.5,10
108,2017-07-03,24.7,21.9,27.4,67.5,6.2,3.5,9.19,9.9
108,2017-07-04,26.7,23.8,31.6,.5,4.9,2,19.73,6.5
108,2017-07-05,27.4,23.3,32.6,,4.1,1.5,18.39,4.8
108,2017-07-06,27.6,23.9,34.6,34,5.3,1.7,19.12,7.1
108,2017-07-07,26.4,24.4,28.4,16.5,4.8,2,6.32,9.5
108,2017-07-08,26,24.6,27.6,4.5,5,2.6,4.66,9.9
108,2017-07-09,26.3,23.8,30.3,32.5,3.1,1,9.27,9.6
108,2017-07-10,24,22.6,25.4,144.5,5.9,2.3,2.01,10
108,2017-07-11,26,22.2,30.9,1,4.4,2.1,13.94,8.8
108,2017-07-12,27.1,24.9,31.1,0,4.6,2.3,17.01,6.1
108,2017-07-13,27.6,23.1,32.1,,4,1.5,19.23,2.6
108,2017-07-14,28.7,26.1,33,0,6,2.1,16.04,7
108,2017-07-15,25,23.4,27.3,42.5,5.2,2.2,5.65,10
108,2017-07-16,26.2,23.4,28.8,22.5,4.3,1.4,10.5,9.4
108,2017-07-17,26.8,24,29,7.5,4.3,2,11.18,9.1
108,2017-07-18,26.5,23.9,30.7,2.5,3.5,1.6,11.5,7.4
108,2017-07-19,28.3,24.5,34.1,,4.6,1.8,20.43,5.9
108,2017-07-20,29.9,26,34.9,,4.8,2.2,20.59,2.4
108,2017-07-21,29.8,27.3,32.4,,3.9,2.5,10.81,8.6
108,2017-07-22,29.3,27.5,32.5,.5,4,2.3,10.01,9.5
108,2017-07-23,27,26.1,28.1,133.5,4.1,2.1,2.72,9.8
108,2017-07-24,26.2,25.6,27.3,3,2.7,1.2,5.17,9.4
108,2017-07-25,29.4,24.6,35.4,,4.6,1.9,21.74,4.3
108,2017-07-26,28.7,24.2,32.8,,4.8,2.7,22.61,3.5
108,2017-07-27,27.1,24.9,29.7,3.5,3.6,1.9,10,9.4
108,2017-07-28,25.5,24.8,26.9,8.5,3.1,1.5,3.38,9.6
108,2017-07-29,27.2,25,30.1,0,3.9,2.3,11.78,7.5
108,2017-07-30,27.9,24.7,32.6,,4.2,1.9,18.56,7.9
108,2017-07-31,25.7,24.8,27.1,3.5,3.5,1.4,4.34,9.6
108,2017-08-01,28.6,24.1,33,2,3.3,1.7,18.08,7
108,2017-08-02,30,26.6,33,,2.5,1.3,11.98,5.1
108,2017-08-03,30.2,27.2,33.9,,4.3,2.2,21.79,5.6
108,2017-08-04,30.3,25.9,35.3,,4.6,2.1,22.18,6.3
108,2017-08-05,31.4,27.6,34.8,0,5.3,1.9,16.84,4.1
108,2017-08-06,29.8,28.2,34,5,4.6,1.9,11.98,6.9
108,2017-08-07,29.2,26.4,34.4,,5.3,2.4,22.74,3.3
108,2017-08-08,28.2,25.5,31,,5,1.9,13.47,8
108,2017-08-09,27.6,24.6,32,2.5,4,2.3,14.17,9.1
108,2017-08-10,24.8,23.9,26.3,5.5,3.4,2,6.21,9.9
108,2017-08-11,27,23.9,32.4,.5,4.1,2.3,15.55,5.9
108,2017-08-12,27.8,23.2,32.6,,3.9,2.1,18.42,5.6
108,2017-08-13,26.3,24.2,28.4,0,5,2.8,11.22,8.9
108,2017-08-14,24.6,23.1,27.1,1.5,5.7,3.6,7.26,9.6
108,2017-08-15,21.9,20.8,24,93.5,5.5,3.6,3,10
108,2017-08-16,23.3,20.5,26.8,2,5.1,3.7,10.41,9.6
108,2017-08-17,24.8,21.2,27.7,.5,3.9,2.1,9.67,8.1
108,2017-08-18,26.3,23.9,30.6,0,3.7,1.3,12.1,8.3
108,2017-08-19,26.1,23.1,28.7,0,3.3,2,9.79,8.1
108,2017-08-20,23.2,22,25.8,124.5,4.7,2.9,3.48,10
108,2017-08-21,25.8,23.7,29.2,5,5.3,2.4,10.72,7.6
108,2017-08-22,27.3,23.4,31.5,,3.7,1.9,16.45,4.4
108,2017-08-23,27.2,24.6,30.2,31.5,6.2,2.6,8.22,9.4
108,2017-08-24,26.5,23.9,28.1,14,7.7,4,3.62,7.9
108,2017-08-25,25.3,22.2,30.6,,5,1.7,20.24,6
108,2017-08-26,24.2,19,29.2,,4.9,2,24.43,1.9
108,2017-08-27,22.7,19,26.7,0,2.6,1.4,10.32,8.3
108,2017-08-28,21.5,18.3,26.5,9,4.4,1.5,6.82,9.1
108,2017-08-29,19.5,17,24,,5.3,3.2,21.08,6.5
108,2017-08-30,19.8,16.1,23.9,,4.5,1.5,9.64,7.1
108,2017-08-31,22.2,16.6,27.6,,4.1,1.6,19.21,.9
108,2017-09-01,23.3,17.1,29.7,,4.4,2.2,22.7,.4
108,2017-09-02,23.8,18.6,29.6,,4.2,1.8,19.67,2.9
108,2017-09-03,23.7,19,29.2,,3.3,1.6,15.85,3
108,2017-09-04,24.6,19.7,30.1,,3.2,1.6,17.94,6.1
108,2017-09-05,21.9,20.4,23.7,0,3.3,1.7,5.38,8.8
108,2017-09-06,20.6,18.5,24,2,2.8,1.2,6.06,9.6
108,2017-09-07,22.4,17.8,27.5,,3.7,1.4,14.01,5.6
108,2017-09-08,24.3,20.4,29.9,,3.9,1.7,19.77,3.8
108,2017-09-09,23.8,19.2,28.2,,3.6,1.4,16.69,2.8
108,2017-09-10,23,19.9,26.1,.5,2.7,1.4,7.34,9.3
108,2017-09-11,21.2,18.6,24.6,24,3.9,1.7,8.17,7.6
108,2017-09-12,22.1,17.7,27.9,,4.8,1.9,19.09,.6
108,2017-09-13,21.4,15.9,27.5,,4.2,1.9,21.6,0
108,2017-09-14,22.4,14.8,29.5,,3.2,1.7,20.59,1.5
108,2017-09-15,22.6,17.8,27.9,,5.9,3.6,19.03,3.9
108,2017-09-16,22,16.7,27.6,,5.7,3.6,20.23,3.1
108,2017-09-17,23.1,19,29.2,,5,2.7,19.04,3.5
108,2017-09-18,21.9,16.4,27.6,,4.7,2.1,18.98,1.8
108,2017-09-19,22.6,20.1,25.8,8,6.8,3,7.26,7.9
108,2017-09-20,19.5,14.1,24.9,,5,2.4,20.74,.8
108,2017-09-21,20.3,14.2,27,,3,1.6,19.35,.5
108,2017-09-22,20.6,15.4,26.8,,4.4,2.1,16.7,3.5
108,2017-09-23,21.8,17.6,27.3,0,3.7,1.6,13.3,6.6
108,2017-09-24,22.4,18.8,27.9,0,4.6,2,11.77,6.9
108,2017-09-25,23.4,17.4,30.1,,3,1.4,16.62,2.5
108,2017-09-26,25.1,19.4,31.4,0,3.3,1.9,15.66,4.9
108,2017-09-27,22.7,19.9,27.3,.5,4.3,1.7,.02,8.8
108,2017-09-28,19.2,14.2,25.3,,6,2.8,11.81,2.5
108,2017-09-29,17.4,11.2,23.5,,5.4,2.2,13.75,3.1
108,2017-09-30,20,14.7,25.9,,3.9,1.5,6.11,3.5
108,2017-10-01,18.2,15.5,21.2,4,4.3,2.3,3.06,8.9
108,2017-10-02,22,15.6,29.4,1.5,5.8,2.3,11.2,2.6
